movieID,country
1,USA
3,USA
4,USA
6,USA
7,USA
8,USA
9,USA
14,USA
15,USA
16,USA
19,USA
21,USA
22,USA
24,USA
25,France
26,USA
28,UK
29,France
34,Australia
41,UK
44,USA
45,USA
47,Japan
49,Canada
50,USA
52,USA
53,Italy
54,USA
55,USA
63,USA
65,USA
70,USA
72,USA
74,USA
75,USA
76,Canada
77,Germany
82,Netherlands
85,USA
86,USA
87,USA
90,USA
92,USA
93,USA
95,USA
96,UK
97,France
100,USA
102,USA
103,USA
104,USA
110,USA
111,USA
112,Hong Kong
113,USA
114,Canada
116,UK
118,USA
119,USA
120,USA
121,Canada
124,Italy
131,France
137,USA
139,USA
141,USA
145,USA
146,USA
148,UK
150,USA
155,UK
156,USA
157,USA
158,USA
159,USA
160,USA
161,USA
164,USA
170,USA
171,USA
175,USA
176,USA
178,Canada
180,USA
181,USA
182,UK
183,Germany
186,USA
187,USA
188,USA
190,USA
191,USA
196,USA
198,USA
199,France
201,USA
202,UK
203,USA
204,USA
205,USA
206,USA
207,USA
208,USA
213,Russia
216,USA
217,USA
218,USA
222,Ireland
223,USA
224,USA
225,USA
226,USA
228,USA
229,UK
230,USA
232,Taiwan
233,Canada
234,USA
241,USA
242,Belgium
243,USA
248,USA
251,USA
254,France
256,USA
257,USA
259,USA
262,USA
263,UK
265,Mexico
267,USA
268,USA
270,USA
271,USA
272,UK
274,USA
276,USA
277,USA
282,USA
283,USA
287,USA
288,USA
289,USA
290,New Zealand
291,USA
292,USA
293,France
294,USA
296,USA
297,USA
301,Japan
302,France
305,USA
307,France
308,France
313,USA
314,USA
315,Peru
316,France
317,UK
318,USA
320,USA
321,Cuba
326,China
327,USA
330,USA
332,USA
333,USA
334,USA
338,USA
341,Canada
346,UK
347,France
348,USA
350,USA
352,USA
356,USA
358,USA
361,USA
362,USA
364,USA
365,Italy
367,USA
370,USA
375,USA
377,USA
378,USA
380,USA
384,USA
387,USA
388,USA
393,USA
394,USA
398,USA
407,USA
408,USA
409,USA
410,USA
413,USA
415,USA
416,USA
417,Spain
419,USA
423,USA
425,USA
427,USA
431,USA
432,USA
433,USA
436,USA
437,USA
438,USA
441,USA
443,USA
444,USA
447,USA
454,USA
457,USA
460,USA
462,South Africa
463,USA
471,UK
475,Ireland
476,USA
477,USA
478,USA
479,USA
481,USA
482,France
483,USA
484,USA
486,USA
489,France
491,USA
495,Japan
497,UK
498,USA
499,USA
500,USA
503,USA
504,USA
505,USA
510,USA
511,USA
515,UK
516,USA
517,USA
518,USA
519,USA
520,France
522,Australia
523,USA
524,USA
527,USA
528,USA
529,USA
531,USA
533,Japan
534,UK
535,USA
536,USA
538,USA
539,USA
542,USA
543,USA
544,USA
549,Portugal
550,USA
556,UK
559,France
563,Belgium
564,South Korea
566,USA
567,Spain
570,Denmark
573,Italy
574,USA
577,USA
580,UK
581,France
583,Italy
585,USA
589,USA
590,USA
592,USA
593,USA
596,USA
597,USA
598,Russia
599,USA
600,USA
603,USA
605,USA
609,USA
610,Canada
616,USA
621,France
626,USA
628,USA
635,USA
637,USA
638,France
645,France
647,USA
648,Germany
649,USA
650,USA
652,South Korea
656,USA
659,France
660,USA
661,UK
662,USA
663,Canada
665,France
668,India
670,India
671,USA
674,France
681,France
688,USA
690,Germany
691,USA
692,Mexico
694,USA
695,USA
696,UK
697,USA
703,UK
704,USA
709,USA
710,USA
712,France
715,France
716,USA
717,Spain
719,USA
729,UK
731,USA
733,USA
735,Italy
741,Japan
743,USA
745,UK
748,USA
751,Canada
753,UK
755,USA
756,UK
757,Hong Kong
762,USA
765,USA
766,UK
771,France
775,France
778,UK
779,USA
780,USA
782,USA
783,USA
788,USA
793,France
798,USA
