movieID,genre
1,Adventure
1,Animation
1,Children
1,Comedy
1,Fantasy
3,Comedy
3,Romance
4,Comedy
4,Drama
4,Romance
6,Action
6,Crime
6,Thriller
7,Comedy
7,Romance
8,Adventure
8,Children
9,Action
14,Drama
15,Action
15,Adventure
15,Romance
16,Crime
16,Drama
19,Comedy
21,Action
21,Comedy
21,Drama
22,Crime
22,Drama
22,Horror
22,Mystery
22,Thriller
24,Drama
24,Sci-Fi
25,Drama
25,Romance
26,Drama
28,Drama
28,Romance
29,Adventure
29,Drama
29,Fantasy
29,Mystery
29,Sci-Fi
34,Children
34,Comedy
34,Drama
34,Fantasy
41,Drama
41,War
44,Action
44,Adventure
44,Fantasy
45,Comedy
45,Drama
45,Thriller
47,Crime
47,Horror
47,Mystery
47,Thriller
49,Drama
49,Romance
50,Crime
50,Mystery
50,Thriller
52,Comedy
52,Drama
52,Romance
53,Adventure
53,Drama
54,Children
54,Comedy
55,Drama
63,Comedy
63,Crime
65,Comedy
70,Action
70,Comedy
70,Horror
70,Thriller
72,Comedy
72,Drama
74,Drama
74,Romance
75,Comedy
75,Drama
76,Action
76,Sci-Fi
76,Thriller
77,Documentary
82,Comedy
82,Drama
85,Drama
85,Romance
86,Adventure
86,Drama
87,Children
87,Comedy
90,Drama
92,Drama
92,Horror
92,Thriller
93,Comedy
93,Romance
95,Action
95,Adventure
95,Thriller
96,Comedy
96,Drama
97,Drama
100,Drama
100,Thriller
102,Comedy
103,Mystery
103,Sci-Fi
103,Thriller
104,Comedy
110,Action
110,Drama
110,War
111,Crime
111,Drama
111,Thriller
112,Action
112,Adventure
112,Comedy
112,Crime
113,Drama
113,Mystery
114,Drama
116,Documentary
118,Comedy
118,Romance
119,Comedy
120,Drama
121,Drama
124,Drama
131,Drama
131,Romance
137,Documentary
139,Action
139,Drama
141,Comedy
145,Action
146,Adventure
146,Children
148,Drama
150,Adventure
150,Drama
155,Adventure
155,Drama
155,War
156,Comedy
156,Drama
157,Comedy
157,War
158,Adventure
158,Children
159,Crime
159,Drama
159,Mystery
160,Action
160,Adventure
160,Mystery
160,Sci-Fi
161,Drama
161,Thriller
161,War
164,Crime
164,Film-Noir
164,Mystery
164,Thriller
170,Action
170,Adventure
170,Crime
170,Thriller
171,Comedy
171,Drama
175,Drama
176,Comedy
178,Comedy
178,Drama
180,Comedy
181,Action
181,Children
182,Drama
182,Romance
183,Comedy
183,Horror
183,Thriller
186,Comedy
186,Romance
187,Comedy
188,Fantasy
188,Horror
188,Mystery
190,Thriller
191,Drama
191,Romance
196,Horror
196,Sci-Fi
198,Action
198,Crime
198,Drama
198,Mystery
198,Sci-Fi
198,Thriller
199,Drama
199,Musical
201,Drama
202,Drama
202,Romance
203,Comedy
204,Action
205,Comedy
205,Drama
206,Documentary
207,Drama
207,Romance
208,Action
208,Adventure
208,Sci-Fi
213,Drama
216,Comedy
217,Drama
217,Thriller
218,Comedy
218,Drama
222,Drama
222,Romance
223,Comedy
224,Comedy
224,Drama
224,Romance
225,Drama
225,Thriller
226,Thriller
228,Comedy
229,Drama
229,Thriller
230,Drama
230,Thriller
232,Comedy
232,Drama
232,Romance
233,Drama
234,Comedy
241,Children
241,Drama
242,Drama
242,Musical
243,Comedy
248,Comedy
251,Action
254,Drama
256,Comedy
256,Sci-Fi
257,Mystery
257,Thriller
259,Crime
259,Drama
259,Thriller
262,Children
262,Drama
263,Drama
265,Drama
265,Romance
267,Comedy
268,Drama
270,Drama
270,Romance
271,Drama
272,Comedy
272,Drama
274,Comedy
276,Comedy
276,Romance
277,Drama
282,Drama
283,Crime
283,Drama
287,Comedy
287,Romance
288,Action
288,Crime
288,Thriller
289,Comedy
289,Romance
290,Crime
290,Drama
291,Drama
291,Thriller
292,Action
292,Drama
292,Sci-Fi
292,Thriller
293,Crime
293,Drama
293,Romance
293,Thriller
294,Comedy
294,Romance
296,Comedy
296,Crime
296,Drama
297,Drama
301,Drama
301,Romance
302,Drama
302,Romance
305,Comedy
307,Drama
308,Comedy
308,Drama
313,Animation
313,Children
314,Children
314,Drama
314,Fantasy
314,Mystery
315,Action
315,Drama
315,Thriller
316,Action
316,Adventure
316,Sci-Fi
317,Comedy
317,Drama
317,Fantasy
318,Drama
320,Film-Noir
320,Thriller
321,Drama
326,Drama
327,Action
327,Comedy
327,Musical
327,Sci-Fi
330,Action
330,Crime
330,Horror
332,Horror
332,Sci-Fi
333,Comedy
334,Drama
338,Action
338,Sci-Fi
338,Thriller
341,Drama
346,Drama
346,Musical
347,Drama
347,Film-Noir
